# (exp((0 - (a * (x ^ 2)))) * sin(x))
# x	f(x)	f'(x)
1.50000000	0.105135198092	-0.307949948074
1.55000000	0.090471874173	-0.278581055991
1.60000000	0.077271777937	-0.249526950892
1.65000000	0.065504273391	-0.221363157411
1.70000000	0.055112974345	-0.194544801782
1.75000000	0.046021635152	-0.169412401994
1.80000000	0.038139666458	-0.146200918252
1.85000000	0.031367136590	-0.125051123483
1.90000000	0.025599165062	-0.106022407091
1.95000000	0.020729656872	-0.089106215503
2.00000000	0.016654363312	-0.074239448432
2.05000000	0.013273285838	-0.061317259361
2.10000000	0.010492463788	-0.050204842339
2.15000000	0.008225204373	-0.040747916587
2.20000000	0.006392824766	-0.032781739112
2.25000000	0.004924981918	-0.026138578902
2.30000000	0.003759666904	-0.020653671725
2.35000000	0.002842937830	-0.016169740918
2.40000000	0.002128459863	-0.012540217230
2.45000000	0.001576913428	-0.009631321125
2.50000000	0.001155323026	-0.007323186136
2.55000000	0.000836350067	-0.005510204418
2.60000000	0.000597584229	-0.004100768435
2.65000000	0.000420859466	-0.003016568321
2.70000000	0.000291613281	-0.002191585504
2.75000000	0.000198301389	-0.001570901752
2.80000000	0.000131874464	-0.001109420762
2.85000000	0.000085319383	-0.000770578102
2.90000000	0.000053264044	-0.000525095732
2.95000000	0.000031642506	-0.000349820109
3.00000000	0.000017415593	-0.000226668335
3.05000000	0.000008341206	-0.000141695046
3.10000000	0.000002788184	-0.000084283573
3.15000000	-0.000000412446	-0.000046458215
3.20000000	-0.000002084707	-0.000022309826
3.25000000	-0.000002798803	-0.000007524029
3.30000000	-0.000002940970	0.000001000084
3.35000000	-0.000002766272	0.000005453361
3.40000000	-0.000002437904	0.000007354333
3.45000000	-0.000002056023	0.000007732694
3.50000000	-0.000001678539	0.000007268717
3.55000000	-0.000001335846	0.000006397551
3.60000000	-0.000001041063	0.000005385959
3.65000000	-0.000000796986	0.000004387833
3.70000000	-0.000000600690	0.000003483589
3.75000000	-0.000000446475	0.000002707580
3.80000000	-0.000000327671	0.000002066710
3.85000000	-0.000000237685	0.000001552749
3.90000000	-0.000000170538	0.000001150196
3.95000000	-0.000000121108	0.000000841092
4.00000000	-0.000000085167	0.000000607777
4.05000000	-0.000000059334	0.000000434325
4.10000000	-0.000000040965	0.000000307134
4.15000000	-0.000000028037	0.000000215033
4.20000000	-0.000000019026	0.000000149117
4.25000000	-0.000000012805	0.000000102459
4.30000000	-0.000000008548	0.000000069774
4.35000000	-0.000000005661	0.000000047105
4.40000000	-0.000000003720	0.000000031532
4.45000000	-0.000000002425	0.000000020933
4.50000000	-0.000000001569	0.000000013784
4.55000000	-0.000000001008	0.000000009004
4.60000000	-0.000000000642	0.000000005835
4.65000000	-0.000000000406	0.000000003751
4.70000000	-0.000000000255	0.000000002393
4.75000000	-0.000000000159	0.000000001515
4.80000000	-0.000000000098	0.000000000952
4.85000000	-0.000000000060	0.000000000593
4.90000000	-0.000000000037	0.000000000367
4.95000000	-0.000000000022	0.000000000225
5.00000000	-0.000000000013	0.000000000137
5.05000000	-0.000000000008	0.000000000083
5.10000000	-0.000000000005	0.000000000050
5.15000000	-0.000000000003	0.000000000030
5.20000000	-0.000000000002	0.000000000017
5.25000000	-0.000000000001	0.000000000010
5.30000000	-0.000000000001	0.000000000006
5.35000000	-0.000000000000	0.000000000003
5.40000000	-0.000000000000	0.000000000002
5.45000000	-0.000000000000	0.000000000001
5.50000000	-0.000000000000	0.000000000001
5.55000000	-0.000000000000	0.000000000000
5.60000000	-0.000000000000	0.000000000000
5.65000000	-0.000000000000	0.000000000000
5.70000000	-0.000000000000	0.000000000000
5.75000000	-0.000000000000	0.000000000000
5.80000000	-0.000000000000	0.000000000000
5.85000000	-0.000000000000	0.000000000000
5.90000000	-0.000000000000	0.000000000000
5.95000000	-0.000000000000	0.000000000000
6.00000000	-0.000000000000	0.000000000000
6.05000000	-0.000000000000	0.000000000000
6.10000000	-0.000000000000	0.000000000000
6.15000000	-0.000000000000	0.000000000000
6.20000000	-0.000000000000	0.000000000000
6.25000000	-0.000000000000	0.000000000000
6.30000000	0.000000000000	0.000000000000
6.35000000	0.000000000000	0.000000000000
6.40000000	0.000000000000	-0.000000000000
6.45000000	0.000000000000	-0.000000000000
6.50000000	0.000000000000	-0.000000000000
